PID    COMMAND %CPU TIME     #TH #WQ #PORTS MEM PURG CMPRS PGRP  PPID  STATE    BOOSTS %CPU_ME %CPU_OTHRS UID FAULTS COW MSGSENT MSGRECV SYSBSD SYSMACH CSW PAGEINS IDLEW POWER INSTRS CYCLES JETPRI  USER                 #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
15364  node    99.0  00:49.71 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4667+  131  1267+   631+    8112+  879+    33876+ 130     6     99.0  16727850772 2629236736 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.4  00:50.79 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4676+  131  1293+   644+    8192+  892+    34540+ 130     6     99.4  16709719260 2638119151 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.2  00:51.85 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4679+  131  1319+   657+    8282+  905+    35274+ 130     6     98.2  16432018184 2604515515 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    100.0 00:52.94 11/1 0   27     33M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4732+  131  1346+   670+    8844+  918+    36042+ 130     6     100.0 16686356104 2652402672 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.9  00:54.04 11/1 0   27     33M  0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4732   131  1372+   683+    8985+  931+    36743+ 130     6     98.9  16962771059 2688092494 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.1  00:55.11 11/1 0   27     33M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4737+  131  1398+   696+    9133+  944+    37401+ 130     6     99.1  16589860372 2630763598 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.4  00:56.19 11/1 0   27     35M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4822+  131  1424+   709+    9317+  957+    38052+ 130     6     99.4  16658668702 2634851474 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.8  00:57.26 11/1 0   27     36M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4913+  131  1451+   722+    9464+  970+    38717+ 130     6     98.8  16507300655 2621229617 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    100.1 00:58.35 11/1 0   27     37M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4947+  131  1477+   735+    9628+  983+    39428+ 130     6     100.1 16819969295 2653967354 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.3  00:59.43 11/1 0   27     38M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 5016+  131  1503+   748+    9775+  996+    40084+ 132+    6     98.3  16646268736 2641020068 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.7  01:00.50 11/1 0   27     38M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 5047+  131  1529+   761+    9918+  1009+   40734+ 132     6     98.7  16581927721 2620928339 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.0  01:01.58 11/1 0   27     39M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 5131+  131  1555+   774+    10061+ 1022+   41378+ 132     6     99.0  16655744375 2628689720 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    100.8 01:02.67 11/1 0   27     42M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 5324+  131  1581+   787+    10251+ 1036+   42169+ 135+    6     100.8 16685544323 2675277371 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.2  01:03.75 11/1 0   27     43M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 5333+  131  1607+   800+    10390+ 1049+   42806+ 135     6     99.2  16688575518 2633545635 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    63.0  01:04.45 11/1 0   27     43M  0B   0B    15350 15350 sleeping *0[1]  0.00000 0.00000    501 5333   131  1625+   809+    10551+ 1058+   43204+ 135     6     63.0  10793632524 1705869620 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    0.0   01:04.45 11/1 0   27     43M  0B   0B    15350 15350 sleeping *0[1]  0.00000 0.00000    501 5333   131  1625    809     10553+ 1058    43207+ 135     6     0.0   42214       120475     180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    0.0   01:04.45 11/1 0   27     43M  0B   0B    15350 15350 sleeping *0[1]  0.00000 0.00000    501 5333   131  1625    809     10555+ 1058    43209+ 135     6     0.0   26283       119365     180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
